query,topIntent
"예약할게",Reservation
"병원을 예약할거예요",Reservation
"예약이 필요해요",Reservation
"병원예약하기",Reservation
"예약",Reservation
"진료과",ReservationDepartment
"진료과로 예약하기",ReservationDepartment
"진료과 예약하기",ReservationDepartment
"진료과 보기",ReservationDepartment
"진료과로 예약처리",ReservationDepartment
"진료과로 예약해주세요",ReservationDepartment
"병명일때 과 찾아줘",ReservationDisease
"일때 진료과 찾아줘",ReservationDisease
"일때 예약해줘",ReservationDisease
"걸렸을때 예약 해줘",ReservationDisease
"일때 예약 해줘",ReservationDisease
"걸렸을때 어디로 가야하지?",ReservationDisease
"일때 과 보여줘",ReservationDisease
"병명으로 예약하기",ReservationDisease
"일때 교수님 보여줘",ReservationDisease
"병명으로 과 찾아보기",ReservationDisease
"병명으로 과 찾기",ReservationDisease
"에 걸렸을때 예약해주세요",ReservationDisease
"의사로 예약해줘",ReservationProfessor
"교수님한테 예약해주세요",ReservationProfessor
"교수님",ReservationProfessor
"교수님 찾을래",ReservationProfessor
"교수님한테 예약해줘",ReservationProfessor
"교수님 찾아줘",ReservationProfessor
"교수님으로 예약해줘",ReservationProfessor
"의사한테 예약해줘",ReservationProfessor
"의사 찾아줘",ReservationProfessor
"교수님 예약할게",ReservationProfessor
"교수한테 예약해줘",ReservationProfessor
"교수님 이름으로 예약하기",ReservationProfessor
"예약 정보 확인 할게",ShowReservation
"예약을 확인하고 싶어요",ShowReservation
"오늘 예약 확인해줘",ShowReservation
"예약 보기",ShowReservation
"예약 확인할게요",ShowReservation
"병원 예약 보기",ShowReservation
"예약 확인",ShowReservation
"내 예약 정보 보여줘",ShowReservation
"예약 보여줘",ShowReservation
"예약 확인해줘",ShowReservation
"예약 확인하기",ShowReservation
"예약 확인해줘",ShowReservation
"병원 예약 정보 보여주세요",ShowReservation
"예약 정보",ShowReservation
"예약 정보를 확인할게요",ShowReservation
"안녕",StartService
"안녕하세요",StartService
"시작",StartService
"시작할래요",StartService
"기능",StartService
"있니?",StartService
"다른기능",StartService
"기능보기",StartService
"스타트",StartService
"챗봇시작",StartService
"거기있니?",StartService
start,StartService
"다른 기능이 있나요?",StartService
"고마워용",ThankYou
"감사합니다",ThankYou
"감사해요",ThankYou
"감사감사",ThankYou
"고맙습니다",ThankYou
"고마워",ThankYou
